,count,jaccard,z_score
akun,671.0,0.017286685902720526,-22.638740074421584
biaya,321.0,0.00797793021175067,6.113698559846099
cs,248.0,0.006471647399598132,-14.387317927976772
daftar,510.0,0.013114922724818063,-17.673478015346188
dana,247.0,0.006442693932912515,-9.535106711459768
data,595.0,0.015301136655865865,-21.96026215597659
download,134.0,0.003518630360003151,-8.564242822969634
email,378.0,0.009935341428796719,-20.436897198642097
eror,172.0,0.004496614467595619,-11.9073081943256
fitur,460.0,0.01150517732979841,7.022040870942506
hp,273.0,0.007118087242197481,-14.602544263767651
isi,446.0,0.010930300950887168,-11.710758171729497
jam,186.0,0.004897443323942178,-11.290648816211466
kartu,442.0,0.011334786511091165,0.30286376786663954
kode,253.0,0.006524654425417784,-11.374887383591899
login,437.0,0.011227871842963952,-21.012439736261967
nasabah,189.0,0.004940272368455446,-5.561712590168148
nomor,441.0,0.011349890618967958,-16.866371318272186
pelayanan,162.0,0.0042624848708098725,-1.8627151672924973
pembayaran,181.0,0.004712805290839973,1.3254389600015857
pin,271.0,0.007120897600966971,-16.529411016383158
promo,195.0,0.0051333350883196885,-4.402341161372701
proses,244.0,0.006311269755050309,-2.3668937340826717
rekening,349.0,0.008712149579370429,-6.364883965989813
tabungan,80.0,0.0020932544874143074,0.6909170973361868
tampilan,110.0,0.002813011456628478,3.148336230276918
tarik,165.0,0.004345879316248321,0.7707211869474055
transaksi,678.0,0.016467502185951617,-1.1813133677120502
uang,765.0,0.019018496420047732,-7.290029990486269
verifikasi,359.0,0.009244952616398846,-19.174094007901434
